freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 
A,ED0-2,Y25-34,T,PC,AT	90.8 	96.9 
A,ED0-2,Y25-34,T,PC,BE	84.4 	88.0 
A,ED0-2,Y25-34,T,PC,BG	90.0 	91.9 
A,ED0-2,Y25-34,T,PC,CH	92.2 	84.3 
A,ED0-2,Y25-34,T,PC,CY	88.9 	95.9 
A,ED0-2,Y25-34,T,PC,CZ	89.9 u	91.8 
A,ED0-2,Y25-34,T,PC,DE	88.4 	91.2 
A,ED0-2,Y25-34,T,PC,DK	89.1 u	100.0 u
A,ED0-2,Y25-34,T,PC,EE	92.3 	95.8 
A,ED0-2,Y25-34,T,PC,EL	66.7 	93.2 
A,ED0-2,Y25-34,T,PC,ES	97.5 	97.2 
A,ED0-2,Y25-34,T,PC,EU27_2007	91.1 u	92.2 u
A,ED0-2,Y25-34,T,PC,EU27_2020	91.4 u	92.0 e
A,ED0-2,Y25-34,T,PC,EU28	91.1 u	92.2 u
A,ED0-2,Y25-34,T,PC,FI	98.8 	97.3 
A,ED0-2,Y25-34,T,PC,FR	94.3 u	92.9 u
A,ED0-2,Y25-34,T,PC,HR	91.3 u	86.8 
A,ED0-2,Y25-34,T,PC,HU	97.0 	97.4 
A,ED0-2,Y25-34,T,PC,IE	95.6 u	96.8 u
A,ED0-2,Y25-34,T,PC,IS	91.4 	93.4 
A,ED0-2,Y25-34,T,PC,IT	84.2 u	85.0 
A,ED0-2,Y25-34,T,PC,LT	89.7 u	98.5 
A,ED0-2,Y25-34,T,PC,LU	88.6 u	94.1 
A,ED0-2,Y25-34,T,PC,LV	90.3 	91.7 
A,ED0-2,Y25-34,T,PC,MK	: u	93.0 
A,ED0-2,Y25-34,T,PC,MT	93.2 u	95.1 
A,ED0-2,Y25-34,T,PC,NL	91.0 	89.4 
A,ED0-2,Y25-34,T,PC,NO	93.2 	98.6 
A,ED0-2,Y25-34,T,PC,PL	87.7 u	88.9 u
A,ED0-2,Y25-34,T,PC,PT	94.8 u	93.3 
A,ED0-2,Y25-34,T,PC,RO	90.9 	94.4 
A,ED0-2,Y25-34,T,PC,RS	93.2 u	97.9 
A,ED0-2,Y25-34,T,PC,SE	92.2 u	82.7 
A,ED0-2,Y25-34,T,PC,SI	93.5 	94.3 
A,ED0-2,Y25-34,T,PC,SK	92.8 	93.2 
A,ED0-2,Y25-34,T,PC,UK	86.2 u	94.1 u
A,ED0-2,Y25-64,F,PC,AT	93.4 	94.1 
A,ED0-2,Y25-64,F,PC,BE	86.7 	87.0 
A,ED0-2,Y25-64,F,PC,BG	87.5 	93.7 
A,ED0-2,Y25-64,F,PC,CH	90.6 	91.6 
A,ED0-2,Y25-64,F,PC,CY	93.6 	97.4 
A,ED0-2,Y25-64,F,PC,CZ	91.2 u	96.5 
A,ED0-2,Y25-64,F,PC,DE	85.6 	93.8 
A,ED0-2,Y25-64,F,PC,DK	92.6 	95.9 
A,ED0-2,Y25-64,F,PC,EE	93.0 	91.8 
A,ED0-2,Y25-64,F,PC,EL	71.4 	95.0 
A,ED0-2,Y25-64,F,PC,ES	97.0 	97.0 
A,ED0-2,Y25-64,F,PC,EU27_2007	89.4 u	91.6 u
A,ED0-2,Y25-64,F,PC,EU27_2020	89.4 u	91.4 e
A,ED0-2,Y25-64,F,PC,EU28	89.4 u	91.6 u
A,ED0-2,Y25-64,F,PC,FI	95.1 	93.8 
A,ED0-2,Y25-64,F,PC,FR	87.4 u	86.2 u
A,ED0-2,Y25-64,F,PC,HR	91.5 u	93.7 
A,ED0-2,Y25-64,F,PC,HU	95.0 	97.7 
A,ED0-2,Y25-64,F,PC,IE	92.2 u	92.8 u
A,ED0-2,Y25-64,F,PC,IS	89.6 	93.4 
A,ED0-2,Y25-64,F,PC,IT	84.5 u	83.9 
A,ED0-2,Y25-64,F,PC,LT	93.6 u	91.9 
A,ED0-2,Y25-64,F,PC,LU	91.3 u	92.3 
A,ED0-2,Y25-64,F,PC,LV	89.2 	89.2 
A,ED0-2,Y25-64,F,PC,MK	: u	93.7 
A,ED0-2,Y25-64,F,PC,MT	92.4 u	94.4 
A,ED0-2,Y25-64,F,PC,NL	91.1 	89.5 
A,ED0-2,Y25-64,F,PC,NO	93.0 	95.4 
A,ED0-2,Y25-64,F,PC,PL	88.7 u	93.2 u
A,ED0-2,Y25-64,F,PC,PT	91.7 u	93.7 
A,ED0-2,Y25-64,F,PC,RO	92.8 	94.5 
A,ED0-2,Y25-64,F,PC,RS	93.1 u	94.5 
A,ED0-2,Y25-64,F,PC,SE	92.1 	94.6 
A,ED0-2,Y25-64,F,PC,SI	94.9 	95.9 
A,ED0-2,Y25-64,F,PC,SK	96.1 	96.8 
A,ED0-2,Y25-64,F,PC,UK	88.8 u	93.5 u
A,ED0-2,Y25-64,M,PC,AT	93.2 	91.8 
A,ED0-2,Y25-64,M,PC,BE	84.6 	86.6 
A,ED0-2,Y25-64,M,PC,BG	85.7 	91.7 
A,ED0-2,Y25-64,M,PC,CH	88.2 	80.3 
A,ED0-2,Y25-64,M,PC,CY	92.8 	96.4 
A,ED0-2,Y25-64,M,PC,CZ	86.8 u	92.6 
A,ED0-2,Y25-64,M,PC,DE	79.9 	87.0 
A,ED0-2,Y25-64,M,PC,DK	85.3 	94.6 
A,ED0-2,Y25-64,M,PC,EE	86.9 	89.3 
A,ED0-2,Y25-64,M,PC,EL	70.9 	94.8 
A,ED0-2,Y25-64,M,PC,ES	96.7 	96.6 
A,ED0-2,Y25-64,M,PC,EU27_2007	87.9 u	89.0 u
