freq,isced11,acl00,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,ED0-2,AC41A,Y25-34,M,PC,EL	7.0 	1.2 
A,ED0-2,AC41A,Y25-34,M,PC,ES	4.8 	4.4 
A,ED0-2,AC41A,Y25-34,M,PC,EU27_2007	7.8 e	: 
A,ED0-2,AC41A,Y25-34,M,PC,EU27_2020	7.7 e	6.2 u
A,ED0-2,AC41A,Y25-34,M,PC,EU28	7.8 e	: 
A,ED0-2,AC41A,Y25-34,M,PC,FI	29.2 	17.6 u
A,ED0-2,AC41A,Y25-34,M,PC,FR	15.7 	12.5 
A,ED0-2,AC41A,Y25-34,M,PC,HR	7.3 	1.6 u
A,ED0-2,AC41A,Y25-34,M,PC,HU	0.6 	1.6 
A,ED0-2,AC41A,Y25-34,M,PC,IE	1.5 u	9.1 u
A,ED0-2,AC41A,Y25-34,M,PC,IS	25.6 	: 
A,ED0-2,AC41A,Y25-34,M,PC,IT	5.8 	3.6 
A,ED0-2,AC41A,Y25-34,M,PC,LT	0 u	0 u
