freq,frequenc,ind_type,isced11,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,1M,FAM,ED0-2,Y16-29,M,PC,SE	17.0 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,SI	20.6 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,SK	13.3 	: 
A,1M,FAM,ED0-2,Y16-29,M,PC,UK	15.8 u	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,AT	20.4 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,BE	6.1 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,BG	18.4 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,CH	15.5 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,CY	3.7 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,CZ	12.4 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,DE	11.6 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,DK	21.0 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,EE	26.0 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,EL	5.9 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,ES	10.4 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,EU27_2007	12.3 e	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,EU27_2020	12.3 e	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,EU28	12.3 e	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,FI	14.3 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,FR	10.5 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,HR	13.1 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,HU	16.3 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,IE	7.8 u	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,IS	14.0 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,IT	10.0 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,LT	21.8 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,LU	11.5 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,LV	20.4 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,MK	1.4 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,MT	4.8 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,NL	7.7 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,NO	17.5 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,PL	23.3 u	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,PT	7.8 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,RO	9.5 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,RS	15.7 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,SE	19.3 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,SI	18.0 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,SK	12.2 	: 
A,1M,FAM,ED0-2,Y16-29,T,PC,UK	11.2 u	: 
A,1M,FAM,ED0-2,Y25-34,F,PC,AT	21.6 	23.3 u
A,1M,FAM,ED0-2,Y25-34,F,PC,BE	4.2 	7.5 
A,1M,FAM,ED0-2,Y25-34,F,PC,BG	12.9 	6.4 
A,1M,FAM,ED0-2,Y25-34,F,PC,CH	22.5 	21.8 u
A,1M,FAM,ED0-2,Y25-34,F,PC,CY	3.9 	2.2 u
A,1M,FAM,ED0-2,Y25-34,F,PC,CZ	6.7 u	4.4 
A,1M,FAM,ED0-2,Y25-34,F,PC,DE	12.1 	: u
A,1M,FAM,ED0-2,Y25-34,F,PC,DK	8.6 u	16.5 u
A,1M,FAM,ED0-2,Y25-34,F,PC,EE	25.2 	17.9 
A,1M,FAM,ED0-2,Y25-34,F,PC,EL	6.9 	4.5 u
A,1M,FAM,ED0-2,Y25-34,F,PC,ES	8.2 	8.7 
A,1M,FAM,ED0-2,Y25-34,F,PC,EU27_2007	10.5 u	: 
A,1M,FAM,ED0-2,Y25-34,F,PC,EU27_2020	10.2 	11.8 u
A,1M,FAM,ED0-2,Y25-34,F,PC,EU28	10.5 u	: 
A,1M,FAM,ED0-2,Y25-34,F,PC,FI	10.4 u	: u
A,1M,FAM,ED0-2,Y25-34,F,PC,FR	5.8 	8.8 
A,1M,FAM,ED0-2,Y25-34,F,PC,HR	7.4 	: u
A,1M,FAM,ED0-2,Y25-34,F,PC,HU	11.1 	8.5 
A,1M,FAM,ED0-2,Y25-34,F,PC,IE	10.1 u	37.9 u
A,1M,FAM,ED0-2,Y25-34,F,PC,IS	7.1 u	: 
A,1M,FAM,ED0-2,Y25-34,F,PC,IT	8.0 	11.1 
A,1M,FAM,ED0-2,Y25-34,F,PC,LT	37.1 u	13.5 u
A,1M,FAM,ED0-2,Y25-34,F,PC,LU	6.6 	6.5 u
A,1M,FAM,ED0-2,Y25-34,F,PC,LV	25.9 	19.4 u
A,1M,FAM,ED0-2,Y25-34,F,PC,ME	11.8 	14.4 u
A,1M,FAM,ED0-2,Y25-34,F,PC,MK	0.0 n	: 
